store_id,order_date,daily_revenue,avg_discount,promo_share,avg_comp_gap,weather_temp,holiday_flag,online_share,dayofweek,month
S01,2024-01-01,1484.6000000000001,0.030666666666666665,0.0,-2.4966666666666604,-4.066666666666666,1,0.3333333333333333,0,1
S01,2024-01-02,348.16,0.027600000000000003,0.0,-3.7960000000000007,-1.9600000000000002,0,0.6,1,1
S01,2024-01-03,2184.1800000000003,0.023000000000000003,0.0,-23.519999999999982,0.6333333333333334,0,0.0,2,1
S01,2024-01-04,158.55,0.012,0.0,2.4200000000000017,1.7,0,0.0,3,1
S01,2024-01-05,2468.8,0.025,0.0,-20.180000000000007,-3.3,0,0.0,4,1
S01,2024-01-06,8369.57,0.062000000000000006,0.2222222222222222,-26.46222222222222,1.8777777777777775,0,0.3333333333333333,5,1
S01,2024-01-07,2373.61,0.0245,0.0,27.930000000000007,-3.3499999999999996,0,0.0,6,1
S01,2024-01-08,4349.71,0.13133333333333333,0.3333333333333333,-29.45333333333332,1.0,0,1.0,0,1
S01,2024-01-09,3975.33,0.015333333333333332,0.0,-17.71333333333334,0.20000000000000004,0,0.3333333333333333,1,1
S01,2024-01-10,949.69,0.034,0.0,-5.483333333333339,1.6666666666666667,0,0.0,2,1
S01,2024-01-11,18.61,0.038,0.0,1.6300000000000026,4.4,0,0.0,3,1
S01,2024-01-12,1559.69,0.11933333333333333,0.3333333333333333,-14.346666666666678,0.13333333333333333,0,0.0,4,1
S01,2024-01-13,3989.05,0.028333333333333335,0.0,-32.77333333333335,2.3000000000000003,0,0.3333333333333333,5,1
S01,2024-01-14,90.88,0.027499999999999997,0.0,0.25000000000000133,-0.6499999999999999,0,0.5,6,1
S01,2024-01-15,5471.27,0.014499999999999999,0.0,-13.16000000000001,-0.75,0,0.25,0,1
S01,2024-01-16,3532.09,0.026,0.0,-19.760000000000005,0.7666666666666666,0,0.3333333333333333,1,1
S01,2024-01-17,6.17,0.023,0.0,-0.4399999999999995,0.3,0,0.0,2,1
S01,2024-01-18,4072.76,0.031,0.0,-10.506666666666675,-0.20000000000000004,0,0.3333333333333333,3,1
S01,2024-01-19,4211.45,0.037,0.0,10.873333333333322,-0.6000000000000001,0,0.3333333333333333,4,1
S01,2024-01-20,597.77,0.0225,0.0,-9.330000000000002,1.7,0,1.0,5,1
S01,2024-01-21,1954.6,0.0625,0.16666666666666666,-11.163333333333336,1.1333333333333333,0,0.3333333333333333,6,1
S01,2024-01-22,1050.71,0.03933333333333333,0.0,-32.69666666666666,0.2333333333333333,0,0.3333333333333333,0,1
S01,2024-01-23,2699.37,0.0385,0.0,-8.09999999999998,2.05,0,0.0,1,1
